"time","extractOutput1","raffinateOutput2","extractOutput2","raffinateOutput1"
1675.2,4.51906e-24,3.78769e-11,2.51778e-61,1.31469
1680,6.53457e-24,4.47589e-11,4.08939e-61,1.39758
1684.8,9.42788e-24,5.28352e-11,6.63083e-61,1.48404
1689.6,1.35718e-23,6.23032e-11,1.07342e-60,1.57409
1694.4,1.94933e-23,7.33913e-11,1.7349e-60,1.66779
1699.2,2.79349e-23,8.63631e-11,2.7996e-60,1.76514
1704,3.99401e-23,1.01523e-10,4.51056e-60,1.86617
1708.8,5.69711e-23,1.19223e-10,7.25559e-60,1.9709
1713.6,8.10701e-23,1.39867e-10,1.16522e-59,2.07932
1718.4,1.1508e-22,1.6392e-10,1.86813e-59,2.19144
1723.2,1.62948e-22,1.91919e-10,2.9898e-59,2.30723
1728,2.30127e-22,2.24478e-10,4.77608e-59,2.42669
1732.8,3.24135e-22,2.62303e-10,7.6146e-59,2.54978
1737.6,4.55289e-22,3.06203e-10,1.21148e-58,2.67647
1742.4,6.37699e-22,3.57104e-10,1.92321e-58,2.80671
1747.2,8.90587e-22,4.16067e-10,3.0459e-58,2.94044
1752,1.24004e-21,4.84305e-10,4.81199e-58,3.07761
1756.8,1.72131e-21,5.63201e-10,7.5822e-58,3.21814
1761.6,2.38187e-21,6.54335e-10,1.19143e-57,3.36196
1766.4,3.28537e-21,7.59508e-10,1.86677e-57,3.50898
1771.2,4.51684e-21,8.80771e-10,2.91616e-57,3.6591
1776,6.18941e-21,1.02046e-09,4.54131e-57,3.81223
1780.8,8.45298e-21,1.18122e-09,7.04952e-57,3.96825
1785.6,1.15054e-20,1.36608e-09,1.09071e-56,4.12704
1790.4,1.5607e-20,1.57844e-09,1.68191e-56,4.28849
1795.2,2.10986e-20,1.8222e-09,2.58469e-56,4.45246
1800,2.84251e-20,2.10174e-09,3.95831e-56,4.61881
1804.8,3.81649e-20,2.42203e-09,6.04074e-56,4.78741
1809.6,5.10676e-20,2.78871e-09,9.18628e-56,4.9581
1814.4,6.81005e-20,3.20812e-09,1.39204e-55,5.13074
1819.2,9.05082e-20,3.68745e-09,2.10197e-55,5.30516
1824,1.19886e-19,4.23478e-09,3.16276e-55,5.48121
1828.8,1.58274e-19,4.85925e-09,4.74218e-55,5.65873
1833.6,2.08267e-19,5.57114e-09,7.08547e-55,5.83754
1838.4,2.73162e-19,6.38201e-09,1.055e-54,6.01747
1843.2,3.57131e-19,7.30488e-09,1.56547e-54,6.19837
1848,4.65437e-19,8.35437e-09,2.31506e-54,6.38007
1852.8,6.04701e-19,9.54691e-09,3.41212e-54,6.56238
1857.6,7.8323e-19,1.09009e-08,5.01246e-54,6.74515
1862.4,1.01141e-18,1.24371e-08,7.33946e-54,6.92821
1867.2,1.3022e-18,1.41786e-08,1.07124e-53,7.11139
1872,1.67173e-18,1.61513e-08,1.55865e-53,7.29454
1876.8,2.14e-18,1.83844e-08,2.26082e-53,7.47751
1881.6,2.73179e-18,2.09104e-08,3.26943e-53,7.66014
1886.4,3.47766e-18,2.37655e-08,4.71399e-53,7.84229
1891.2,4.41531e-18,2.69906e-08,6.77712e-53,8.02383
1896,5.59104e-18,3.0631e-08,9.71553e-53,8.20464
1900.8,7.06166e-18,3.47375e-08,1.38893e-52,8.38458
1905.6,8.89669e-18,3.93669e-08,1.98022e-52,8.56356
1910.4,1.1181e-17,4.45824e-08,2.81575e-52,8.74148
1915.2,1.40182e-17,5.04549e-08,3.99344e-52,8.91825
1920,1.75341e-17,5.70634e-08,5.64936e-52,9.0938
1924.8,2.18816e-17,6.4496e-08,7.9722e-52,9.26807
1929.6,2.72462e-17,7.28514e-08,1.1223e-51,9.44101
1934.4,3.3852e-17,8.22396e-08,1.57622e-51,9.61258
1939.2,4.19701e-17,9.27837e-08,2.20866e-51,9.78278
